PartID,ObjectName,Label,BodyID,Qty,Material,ManufacturingMethod,Mass_g,ConnectionIDs
SER-J1,J1_SERVO,TowerPro MG90S J1 exact STEP servo,B0_BASE,1,TowerPro MG90S purchased assembly,Unmodified user STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG90S_SERVO.step,13.400,C-J1-SERVO;C-J1-SUN-HORN
SER-J2_SERVO,J2_SERVO,TowerPro MG996R STEP assembly,B1_TURNTABLE,1,TowerPro MG996R purchased assembly,Unmodified user STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG996R_SERVO.step,55.000,C-J2-SERVO;C-J2-HORN-COUPLER
SER-J3_SERVO,J3_SERVO,TowerPro MG996R STEP assembly001,B2_UPPER_ARM,1,TowerPro MG996R purchased assembly,Unmodified user STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG996R_SERVO.step,55.000,C-J3-SERVO;C-J3-ACTIVE
SER-J4_SERVO,J4_SERVO,TowerPro MG90S STEP assembly,B3_FOREARM,1,TowerPro MG90S purchased assembly,Unmodified user STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG90S_SERVO.step,13.400,C-J4-SERVO;C-J4-ACTIVE
SER-J5,J5_SERVO,TowerPro MG90S J5 exact STEP servo,B4_WRIST_PITCH,1,TowerPro MG90S purchased assembly,Unmodified user STEP C:/Users/kohak/programs/robotarm/vendor/servo_cad/MG90S_SERVO.step,13.400,C-J5-SERVO;C-J5-ACTIVE
SET-J3,J3_COLLAR_SETSCREW,CL05M included M3 set screw,B3_FOREARM,1,Steel,Included with Motionco CL05M,0.222,C-J3-RETENTION;C-J3-PASSIVE
SET-J4,J4_COLLAR_SETSCREW,CL05M included M3 set screw001,B4_WRIST_PITCH,1,Steel,Included with Motionco CL05M,0.222,C-J4-RETENTION;C-J4-PASSIVE
SET-J5,J5_COLLAR_SETSCREW,CL05M included M3 set screw002,B5_TOOL,1,Steel,Included with Motionco CL05M,0.222,C-J5-RETENTION
SH-J1-P1,J1_PLANET_SHAFT_1,J1 5 mm planet shaft,B1_TURNTABLE,1,Hardened steel shaft,Purchased 5 mm shaft; cut and deburr,2.620,C-J1-P1;C-J1-RETENTION;C-J1-TRANSMISSION
SH-J1-P2,J1_PLANET_SHAFT_2,J1 5 mm planet shaft001,B1_TURNTABLE,1,Hardened steel shaft,Purchased 5 mm shaft; cut and deburr,2.620,C-J1-P2;C-J1-RETENTION;C-J1-TRANSMISSION
SH-J1-P3,J1_PLANET_SHAFT_3,J1 5 mm planet shaft002,B1_TURNTABLE,1,Hardened steel shaft,Purchased 5 mm shaft; cut and deburr,2.620,C-J1-P3;C-J1-RETENTION;C-J1-TRANSMISSION
SH-J2-IN,J2_INPUT_SHAFT,J2 5 mm supported input shaft with flats,B1_TURNTABLE,1,Hardened steel shaft,Purchased E-SFJ5; cut 40 mm; two 0.5 mm flats,6.165,C-J2-HORN-COUPLER;C-J2-INPUT-SUPPORT;C-J2-BELT
SH-J2-OUT,J2_OUTPUT_SHAFT,J2 fixed 5 mm shoulder journal with two flats,B1_TURNTABLE,1,Hardened steel shaft,Purchased E-SFJ5; cut 102 mm; two 0.5 mm flats,15.722,C-J2-OUTPUT-BEARINGS;C-J2-RETENTION
SH-J3-P,J3_PASSIVE_STUB,J3 5 mm passive stub with machined flat,B3_FOREARM,1,Hardened steel shaft,"Purchased 5 mm shaft; cut, deburr, mill 0.5 mm flat",1.850,C-J3-PASSIVE
SH-J4-P,J4_PASSIVE_STUB,J4 5 mm passive stub with machined flat,B4_WRIST_PITCH,1,Hardened steel shaft,"Purchased 5 mm shaft; cut, deburr, mill 0.5 mm flat",1.695,C-J4-PASSIVE
SH-J5,J5_OUTPUT_SHAFT,J5 5 mm output shaft,B5_TOOL,1,Hardened steel shaft,Purchased 5 mm shaft; cut and deburr,4.316,C-J5-ACTIVE;C-J5-BRG;C-J5-RETENTION;C-J5-TOOL
